2026-03-09 22:35:17.050 [pool-4-thread-42] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10966, shortCode=2q24D9SweIy, longUrl=https://www.load-test--1773066917035-1287.com, urlHash=8db6784e93f6e5724eb40b4ea75b8ac8, status=1, expireTime=2026-03-16T22:35:17.035704100, createTime=2026-03-09T22:35:17.042603, updateTime=2026-03-09T22:35:17.042603)
2026-03-09 22:35:17.050 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O9
2026-03-09 22:35:17.050 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.050 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.050 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.050 [pool-4-thread-13] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9R6f4c
2026-03-09 22:35:17.051 [pool-4-thread-16] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9Qx2O6
2026-03-09 22:35:17.051 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9R6f4d
2026-03-09 22:35:17.051 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.051 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.052 [pool-4-thread-12] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.052 [pool-4-thread-10] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:17.052 [pool-4-thread-9] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9R6f4f
2026-03-09 22:35:17.052 [pool-4-thread-17] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10968, shortCode=2q24D9TEDeM, longUrl=https://www.load-test--1773066917039-1290.com, urlHash=95e5bf54761bf03e66d308040be6bfe8, status=1, expireTime=2026-03-16T22:35:17.039168700, createTime=2026-03-09T22:35:17.045137900, updateTime=2026-03-09T22:35:17.045137900)
2026-03-09 22:35:17.052 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10975, shortCode=2q24D9TWemQ, longUrl=https://www.load-test--1773066917040-1296.com, urlHash=becaf850e9d0713bade5a7feee2e3ec0, status=1, expireTime=2026-03-16T22:35:17.040168900, createTime=2026-03-09T22:35:17.046149, updateTime=2026-03-09T22:35:17.046149)
2026-03-09 22:35:17.052 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10972, shortCode=2q24D9TEDeN, longUrl=https://www.load-test--1773066917040-1293.com, urlHash=7eba0c84bb7dc9471d92e63a96bdbd3a, status=1, expireTime=2026-03-16T22:35:17.040168900, createTime=2026-03-09T22:35:17.046149, updateTime=2026-03-09T22:35:17.046149)
2026-03-09 22:35:17.052 [pool-4-thread-46] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10971, shortCode=2q24D9TEDeO, longUrl=https://www.load-test--1773066917040-1294.com, urlHash=9eebc0e22ab5ebd2ac0fb578c2caf2a7, status=1, expireTime=2026-03-16T22:35:17.040168900, createTime=2026-03-09T22:35:17.046149, updateTime=2026-03-09T22:35:17.046149)
2026-03-09 22:35:17.052 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10970, shortCode=2q24D9T5qYF, longUrl=https://www.load-test--1773066917038-1289.com, urlHash=7e51e56a2913297038f10deac2c260ca, status=1, expireTime=2026-03-16T22:35:17.038156400, createTime=2026-03-09T22:35:17.045137900, updateTime=2026-03-09T22:35:17.045137900)
2026-03-09 22:35:17.052 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10969, shortCode=2q24D9T5qYG, longUrl=https://www.load-test--1773066917039-1291.com, urlHash=b345ac4ce6a6421562c55163c45b18d0, status=1, expireTime=2026-03-16T22:35:17.039168700, createTime=2026-03-09T22:35:17.045137900, updateTime=2026-03-09T22:35:17.045137900)
2026-03-09 22:35:17.052 [pool-4-thread-44] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D9R6f4h
2026-03-09 22:35:17.052 [pool-4-thread-2] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10967, shortCode=2q24D9T5qYE, longUrl=https://www.load-test--1773066917038-1288.com, urlHash=8f059551090b749df29a9a2fe5ee976b, status=1, expireTime=2026-03-16T22:35:17.038156400, createTime=2026-03-09T22:35:17.045137900, updateTime=2026-03-09T22:35:17.045137900)
2026-03-09 22:35:17.052 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=10974, shortCode=2q24D9TEDeP, longUrl=https://www.load-test--1773066917040-1292.com, urlHash=a5b15c80a56ec8b362d19636b253e3e0, status=1, expireTime=2026-03-16T22:35:17.040168900, createTime=2026-03-09T22:35:17.046149, updateTime=2026-03-09T22:35:17.046149)
