2026-03-09 22:35:15.827 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.829 [pool-4-thread-50] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4eOqt2
2026-03-09 22:35:15.830 [pool-4-thread-19] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.830 [pool-4-thread-18] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.830 [pool-4-thread-20] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=9301, shortCode=2q24D4jDBGc, longUrl=https://www.load-test--1773066915817-625.com, urlHash=135c12d39fc664385248f1e0ac8c57c0, status=1, expireTime=2026-03-16T22:35:15.817745100, createTime=2026-03-09T22:35:15.827254900, updateTime=2026-03-09T22:35:15.827254900)
2026-03-09 22:35:15.833 [pool-4-thread-39] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=9305, shortCode=2q24D4jDBGa, longUrl=https://www.load-test--1773066915817-624.com, urlHash=6c4700171b9c40f3d3175eccf3c9aafc, status=1, expireTime=2026-03-16T22:35:15.817745100, createTime=2026-03-09T22:35:15.827254900, updateTime=2026-03-09T22:35:15.827254900)
2026-03-09 22:35:15.830 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.830 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:35:15.834 [pool-4-thread-40] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=9309, shortCode=2q24D4jVcOc, longUrl=https://www.load-test--1773066915817-628.com, urlHash=4633c7a3a8d14e4f780bc5195bf22461, status=1, expireTime=2026-03-16T22:35:15.817745100, createTime=2026-03-09T22:35:15.828255900, updateTime=2026-03-09T22:35:15.828255900)
2026-03-09 22:35:15.831 [pool-4-thread-43] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4fFdRf
2026-03-09 22:35:15.831 [pool-4-thread-38] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4fFdRh
2026-03-09 22:35:15.831 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-写入 Redis 结果：2q24D4f61Ba
